region,station,service_tag,line_tag,service_tag_norm
서울,수색,보,,StaffedFreight
서울,월롱,무배,경의,Unstaffed
서울,서빙고,보,경원,StaffedFreight
수도서부,금천구청,보,,StaffedFreight
수도서부,의왕,보,,StaffedFreight
수도서부,수원,보,경부,StaffedFreight
수도서부,오류동,보,,StaffedFreight
수도서부,인천,보,경인,StaffedFreight
수도서부,오봉,보,남부화물,StaffedFreight
수도동부,광운대,보,,StaffedFreight
수도동부,동두천,보,,StaffedFreight
수도동부,초성리,보,경원,StaffedFreight
수도동부,덕소,보,,StaffedFreight
수도동부,팔당,보,,StaffedFreight
수도동부,원주,보,,StaffedFreight
수도동부,서원주,무배,중앙,Unstaffed
강원,철암,보,,StaffedFreight
강원,동백산,보,,StaffedFreight
강원,도계,보,,StaffedFreight
강원,동해,보,,StaffedFreight
강원,옥계,보,,StaffedFreight
강원,안인,보,영동,StaffedFreight
강원,묵호항,보,묵호항,StaffedFreight
강원,삼척,보,삼척,StaffedFreight
강원,삼화,무배,북평,Unstaffed
대전충남,두정,보,,StaffedFreight
대전충남,소정리,보,,StaffedFreight
대전충남,부강,보,,StaffedFreight
대전충남,매포,보,,StaffedFreight
대전충남,신탄진,보,,StaffedFreight
대전충남,회덕,보,,StaffedFreight
대전충남,대전조차장,조,,Marshalling
대전충남,옥천,보,,StaffedFreight
대전충남,흑석리,보,호남,StaffedFreight
대전충남,오송,보,,StaffedFreight
대전충남,청주,보,,StaffedFreight
대전충남,도안,보,,StaffedFreight
대전충남,음성,보,충북,StaffedFreight
대전충남,신례원,보,,StaffedFreight
대전충남,삽교,보,,StaffedFreight
대전충남,신성,무배,,Unstaffed
대전충남,간치,보,장항,StaffedFreight
대전충남,부강화물,무배,부강화물,Unstaffed
부산경남,밀양,보,,StaffedFreight
부산경남,부산진,보,경부,StaffedFreight
부산경남,태화강,보,동해,StaffedFreight
부산경남,울산항,무배,울산항,Unstaffed
부산경남,온산,보,온산,StaffedFreight
부산경남,양산화물,무배,양산화물,Unstaffed
부산경남,신창원,보,진해,StaffedFreight
부산경남,한림정,보,경전,StaffedFreight
부산경남,부산신항,보,,StaffedFreight
부산경남,북철송장,무배,,Unstaffed
부산경남,남철송장,무배,부산신항,Unstaffed
광주,하남,보,,StaffedFreight
광주,나주,보,호남,StaffedFreight
광주,장성화물,무배,장성화물,Unstaffed
전북,동익산,보,,StaffedFreight
전북,동산,보,,StaffedFreight
전북,관촌,보,전라,StaffedFreight
전북,군산,보,장항,StaffedFreight
전북,북전주,무배,북전주,Unstaffed
전남,광양,보,경전선,StaffedFreight
전남,흥국사,보,,StaffedFreight
전남,적량,배,여천,WithCrane/Loader
전남,태금,보,광양제철,StaffedFreight
전남,신광양항,보,신광양항,StaffedFreight
대구,약목,보,,StaffedFreight
대구,신동,보,,StaffedFreight
대구,가천,보,경부,StaffedFreight
대구,괴동,보,괴동,StaffedFreight
대구,신동화물,무배,신동화물,Unstaffed
경북,영주,보,,StaffedFreight
경북,문수,보,,StaffedFreight
경북,무릉,보,,StaffedFreight
경북,신녕,보,중앙,StaffedFreight
경북,석포,보,영동,StaffedFreight
경북,점촌,보,경북,StaffedFreight
충북,고명,보,,StaffedFreight
충북,삼곡,보,,StaffedFreight
충북,도담,보,중앙,StaffedFreight
충북,충주,보,충북,StaffedFreight
충북,입석리,보,,StaffedFreight
충북,쌍룡,보,,StaffedFreight
충북,석항,보,,StaffedFreight
충북,예미,보,태백,StaffedFreight
